,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,naver_keyword,naver_map_url,naver_store_type,naver_blog_review_qty
176,16129334,BHC치킨,숭실대점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105050001,1,대지,505,1,서울특별시 동작구 상도동 505-1,115903119004,서울특별시 동작구 사당로,28,,1159010200105050001019414,,서울특별시 동작구 사당로 28,156881,07027,,,,126.957436230114,37.494927740121,BHC치킨%20상도1동,https://m.place.naver.com/restaurant/37413677,"치킨,닭강정",209
189,16169559,배달삼겹직구삼,상도직영점,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104930009,1,대지,493,9,서울특별시 동작구 상도동 493-9,115904157382,서울특별시 동작구 상도로60길,6,,1159010200104930009019420,중앙양행(주),서울특별시 동작구 상도로60길 6,156882,07040,,,,126.954035984716,37.494663409708,배달삼겹직구삼%20상도1동,https://m.place.naver.com/restaurant/1124696525,돼지고기구이,123
190,16172708,불타는꼬꼬발,숭실대점,Q,음식,Q05,닭/오리요리,Q05A10,닭내장/닭발요리,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104770008,1,대지,477,8,서울특별시 동작구 상도동 477-8,115903119005,서울특별시 동작구 상도로,339,,1159010200104770008020422,,서울특별시 동작구 상도로 339,156881,06971,,1,,126.952279367813,37.4981709486774,불타는꼬꼬발%20상도1동,https://m.place.naver.com/restaurant/1048697567,닭발,75
200,16200550,멘동,요리비,Q,음식,Q09,유흥주점,Q09A08,빠/카페/스탠드빠,I56211,일반유흥 주점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105040007,1,대지,504,7,서울특별시 동작구 상도동 504-7,115904157384,서울특별시 동작구 상도로61길,32,,1159010200105040007019627,,서울특별시 동작구 상도로61길 32,156881,07027,,1,,126.956612673245,37.4947853114879,멘동%20상도1동,https://m.place.naver.com/restaurant/31818931,일식당,76
203,16206939,도쿄라멘3900,숭실대점,Q,음식,Q03,일식/수산물,Q03A02,음식점-일식,I56113,일식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105020001,1,대지,502,1,서울특별시 동작구 상도동 502-1,115904157390,서울특별시 동작구 상도로67길,31,,1159010200105020001020832,,서울특별시 동작구 상도로67길 31,156881,07027,,3,,126.956394574306,37.495017658095,도쿄라멘3900%20상도1동,https://m.place.naver.com/restaurant/1118354758,일식당,203
204,16207516,강서,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105020004,1,대지,502,4,서울특별시 동작구 상도동 502-4,115903119004,서울특별시 동작구 사당로,18,,1159010200105020004019933,,서울특별시 동작구 사당로 18,156881,07027,,4,,126.956222330577,37.4952053569305,강서%20상도1동,https://m.place.naver.com/restaurant/1556790491,null,null
213,16227618,펍피맥,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300106810000,1,대지,681,,서울특별시 동작구 상도1동 681,115903005080,서울특별시 동작구 양녕로,265,1,1159010300106810000029183,감자옹심이,서울특별시 동작구 양녕로 265-1,156830,06919,,2,,126.94835497727,37.5038216960261,펍피맥%20상도1동,https://m.place.naver.com/restaurant/1400220391,피자,206
218,16268537,오니기리와이규동,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300105010002,1,대지,501,2,서울특별시 동작구 상도1동 501-2,115904157005,서울특별시 동작구 강남초등길,7,,1159010300105010002029366,쉐르보코리아,서울특별시 동작구 강남초등길 7,156881,06912,,,,126.952229753172,37.5065772964351,오니기리와이규동%20상도1동,https://m.place.naver.com/restaurant/19022009,오니기리,51
227,16272954,한솥도시락,숭실점,Q,음식,Q07,패스트푸드,Q07A02,도시락전문점,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200101030001,1,대지,103,1,서울특별시 동작구 상도동 103-1,115903119004,서울특별시 동작구 사당로,59,,1159010200101030001033750,금성주유소,서울특별시 동작구 사당로 59,156031,06987,,4,,126.961428230176,37.4949268614591,한솥도시락%20상도1동,https://m.place.naver.com/restaurant/1258501482,"도시락,컵밥",8
229,16274214,올바른식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300107750001,1,대지,775,1,서울특별시 동작구 상도1동 775-1,115903119005,서울특별시 동작구 상도로,279,,1159010300107750001000001,상일빌딩,서울특별시 동작구 상도로 279,156830,06968,,,,126.948554110362,37.5025259586469,올바른식당%20상도1동,https://m.place.naver.com/restaurant/37542806,한식,103
234,16309334,맘스터치,상도역점,Q,음식,Q07,패스트푸드,Q07A04,패스트푸드,I56199,그외 기타 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300107720001,1,대지,772,1,서울특별시 동작구 상도1동 772-1,115903119005,서울특별시 동작구 상도로,283,2,1159010300107720001028399,,서울특별시 동작구 상도로 283-2,156830,06968,,2,,126.948817994653,37.5022579925931,맘스터치%20상도1동,https://m.place.naver.com/restaurant/1045661121,"치킨,닭강정","1,546"
238,16322278,커피나무,브런치,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104270000,1,대지,427,,서울특별시 동작구 상도동 427,115904157376,서울특별시 동작구 상도로53길,65,,1159010200104270000000001,커피나무빌딩,서울특별시 동작구 상도로53길 65,156836,06970,,,,126.95379634446,37.5029239135826,커피나무%20상도1동,https://m.place.naver.com/restaurant/783672064,카페,257
244,16348979,스터디카페공유,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105050008,1,대지,505,8,서울특별시 동작구 상도동 505-8,115904157384,서울특별시 동작구 상도로61길,35,,1159010200105050008020929,금영빌딩,서울특별시 동작구 상도로61길 35,156881,07027,,2,,126.956836689562,37.4949404684495,스터디카페공유%20상도1동,https://m.place.naver.com/restaurant/1447475333,장소대여,28
248,16368844,형제상회,,Q,음식,Q01,한식,Q01A05,해장국/감자탕,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300107730002,1,대지,773,2,서울특별시 동작구 상도1동 773-2,115903119005,서울특별시 동작구 상도로,283,,1159010300107730002028443,,서울특별시 동작구 상도로 283,156830,06968,,2,,126.948670227049,37.5023107404556,형제상회%20상도1동,https://m.place.naver.com/restaurant/32812007,생선회,"1,711"
258,16415677,쉐프의목장,,Q,음식,Q01,한식,Q01A99,기타고기요리,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104880000,1,대지,488,,서울특별시 동작구 상도동 488,115903119005,서울특별시 동작구 상도로,357,,1159010200104880000020705,강남상가아파트,서울특별시 동작구 상도로 357,156881,06978,,2,,126.95349547457,37.4969292690837,쉐프의목장%20상도1동,https://m.place.naver.com/restaurant/1560145421,"육류,고기요리",180
259,16416359,컵오브컴포트,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300107720001,1,대지,772,1,서울특별시 동작구 상도1동 772-1,115903119005,서울특별시 동작구 상도로,283,2,1159010300107720001028399,,서울특별시 동작구 상도로 283-2,156830,06968,,2,,126.948817994653,37.5022579925931,컵오브컴포트%20상도1동,https://m.place.naver.com/restaurant/1244784945,"카페,디저트",46
261,16431383,명동국수,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300104010002,1,대지,401,2,서울특별시 동작구 상도1동 401-2,115904157356,서울특별시 동작구 상도로41길,12,,1159010300104010003029269,,서울특별시 동작구 상도로41길 12,156836,06970,,1,,126.949911175301,37.5017270863038,명동국수%20상도1동,https://m.place.naver.com/restaurant/1414429133,국수,547
268,16486465,호이차,숭실대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105060001,1,대지,506,1,서울특별시 동작구 상도동 506-1,115903119004,서울특별시 동작구 사당로,36,,1159010200105060001020021,,서울특별시 동작구 사당로 36,156881,07027,,,,126.958296215223,37.4948902741355,호이차%20상도1동,https://m.place.naver.com/restaurant/1455578865,"카페,디저트",121
272,16509815,상도국수,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104650001,1,대지,465,1,서울특별시 동작구 상도동 465-1,115904157348,서울특별시 동작구 상도로37길,55,,1159010200104650001020645,동원베스트타운,서울특별시 동작구 상도로37길 55,156880,06971,B,,,126.951878153163,37.4993657854476,상도국수%20상도1동,https://m.place.naver.com/restaurant/1981539314,국수,145
276,16563285,조선화로구이집,상도역점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300106980000,1,대지,698,,서울특별시 동작구 상도1동 698,115903119005,서울특별시 동작구 상도로,263,6,1159010300106980000028547,들풀,서울특별시 동작구 상도로 263-6,156830,06919,,,,126.947866808133,37.503952506134,조선화로구이집%20상도1동,https://m.place.naver.com/restaurant/1172326922,"육류,고기요리",678
278,16585071,스타벅스,상도역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300106660005,1,대지,666,5,서울특별시 동작구 상도1동 666-5,115904157348,서울특별시 동작구 상도로37길,1,,1159010300106660005034390,라미재,서울특별시 동작구 상도로37길 1,156830,06968,,,,126.948431169421,37.5032276822549,스타벅스%20상도1동,https://m.place.naver.com/restaurant/37391902,카페,"2,915"
279,16586794,푸라닭치킨,상도1동점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104670001,1,대지,467,1,서울특별시 동작구 상도동 467-1,115904157348,서울특별시 동작구 상도로37길,60,,1159010200104670001020949,한승빌딩,서울특별시 동작구 상도로37길 60,156880,06971,,5,,126.951952675112,37.4988888903899,푸라닭치킨%20상도1동,https://m.place.naver.com/restaurant/1347370528,"치킨,닭강정",348
280,16587634,쌀돈,,Q,음식,Q10,별식/퓨전요리,Q10A08,동남아음식전문점,I56119,기타 외국식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104110000,1,대지,411,,서울특별시 동작구 상도동 411,115904157382,서울특별시 동작구 상도로60길,20,,1159010200104110000019389,대림아파트,서울특별시 동작구 상도로60길 20,156783,07040,,,,126.953386707101,37.4933781675726,쌀돈%20상도1동,https://m.place.naver.com/restaurant/1729754388,돈가스,22
281,16596698,위넌스터디카페,숭실대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104850001,1,대지,485,1,서울특별시 동작구 상도동 485-1,115904157348,서울특별시 동작구 상도로37길,81,,1159010200104850001020861,,서울특별시 동작구 상도로37길 81,156881,06977,,,,126.953648753256,37.4972910468462,위넌스터디카페%20상도1동,https://m.place.naver.com/restaurant/1002629992,장소대여,31
283,16602162,우부래도,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300106660003,1,대지,666,3,서울특별시 동작구 상도1동 666-3,115904157348,서울특별시 동작구 상도로37길,3,,1159010300106660003034391,수빈명가,서울특별시 동작구 상도로37길 3,156830,06968,,,,126.948635608199,37.5031664286434,우부래도%20상도1동,https://m.place.naver.com/restaurant/1775138832,베이커리,879
285,16630732,배달삼겹돼지되지,상도점,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300107370001,1,대지,737,1,서울특별시 동작구 상도1동 737-1,115904157349,서울특별시 동작구 상도로38가길,13,,1159010300107370001029300,제일상회,서울특별시 동작구 상도로38가길 13,156871,07032,,,,126.947409678268,37.5026779550577,배달삼겹돼지되지%20상도1동,https://m.place.naver.com/restaurant/1662881345,null,null
286,16630977,맘스터치,숭실대입구역점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104890006,1,대지,489,6,서울특별시 동작구 상도동 489-6,115903119005,서울특별시 동작구 상도로,366,,1159010200104890006020517,벽담빌딩,서울특별시 동작구 상도로 366,156882,07040,,,,126.953509178476,37.4959472459329,맘스터치%20상도1동,https://m.place.naver.com/restaurant/1045661121,"치킨,닭강정","1,546"
297,16691447,문커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300104280005,1,대지,428,5,서울특별시 동작구 상도1동 428-5,115904157363,서울특별시 동작구 상도로47가길,48,,1159010300104280005029224,,서울특별시 동작구 상도로47가길 48,156836,06970,,1,,126.950191992042,37.5018647396776,문커피%20상도1동,https://m.place.naver.com/restaurant/1244418288,카페,186
304,16728582,나비루,,Q,음식,Q03,일식/수산물,Q03A02,음식점-일식,I56113,일식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200100670006,1,대지,67,6,서울특별시 동작구 상도동 67-6,115904157348,서울특별시 동작구 상도로37길,63,,1159010200100670006034401,지누빌딩,서울특별시 동작구 상도로37길 63,156031,06971,,4,,126.952486413583,37.4987314356405,나비루%20상도1동,https://m.place.naver.com/restaurant/1313669706,일식당,144
309,16750366,구백냥곱창,,Q,음식,Q01,한식,Q01A03,곱창/양구이전문,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104630002,1,대지,463,2,서울특별시 동작구 상도동 463-2,115904157364,서울특별시 동작구 상도로47길,4,,1159010200104630002020706,이화빌딩,서울특별시 동작구 상도로47길 4,156880,06971,,,,126.951434873169,37.4995240403887,구백냥곱창%20상도1동,https://m.place.naver.com/restaurant/1405797351,"곱창,막창,양",200
316,16772867,두찜동작,상도1호점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104640010,1,대지,464,10,서울특별시 동작구 상도동 464-10,115904157364,서울특별시 동작구 상도로47길,18,,1159010200104640010020769,,서울특별시 동작구 상도로47길 18,156880,06971,,1,,126.951835161575,37.5000141595802,두찜동작%20상도1동,https://m.place.naver.com/restaurant/1368589416,찜닭,130
317,16775264,다성반점,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104630004,1,대지,463,4,서울특별시 동작구 상도동 463-4,115904157348,서울특별시 동작구 상도로37길,54,,1159010200104630004020648,동남하이퍼,서울특별시 동작구 상도로37길 54,156880,06971,,,,126.951619706527,37.4992463555917,다성반점%20상도1동,https://m.place.naver.com/restaurant/13157363,중식당,384
318,16828636,도담죽,,Q,음식,Q10,별식/퓨전요리,Q10A01,죽전문점,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300103550002,1,대지,355,2,서울특별시 동작구 상도1동 355-2,115904157364,서울특별시 동작구 상도로47길,17,,1159010300103550002033577,,서울특별시 동작구 상도로47길 17,156836,06970,,1,,126.951663398663,37.5001658137609,도담죽%20상도1동,https://m.place.naver.com/restaurant/1886955563,죽,78
319,16848001,배달의쌀국수,상도점,Q,음식,Q10,별식/퓨전요리,Q10A08,동남아음식전문점,I56119,기타 외국식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300104020004,1,대지,402,4,서울특별시 동작구 상도1동 402-4,115904157348,서울특별시 동작구 상도로37길,23,,1159010300104020004029268,나라순대국,서울특별시 동작구 상도로37길 23,156836,06970,,1,,126.949902390548,37.5015467984095,배달의쌀국수%20상도1동,https://m.place.naver.com/restaurant/1413631382,베트남음식,29
320,16948959,따로닭,상도점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300103560001,1,대지,356,1,서울특별시 동작구 상도1동 356-1,115904157364,서울특별시 동작구 상도로47길,13,,1159010300103560001029251,,서울특별시 동작구 상도로47길 13,156836,06970,,,,126.951541528788,37.4999845222717,따로닭%20상도1동,https://m.place.naver.com/restaurant/1245482203,"치킨,닭강정",59
