,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,naver_keyword,naver_map_url,naver_store_type,naver_blog_review_qty
435,19970598,엣홈,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115170007,1,대지,1517,7,서울특별시 관악구 신림동 1517-7,116204160503,서울특별시 관악구 신림로15길,9,,1162010200115170007007074,,서울특별시 관악구 신림로15길 9,151895,08813,,1,,126.937357430395,37.4697897202188,엣홈%20대학동,https://m.place.naver.com/restaurant/102241347,카페,3.0
436,19997218,파스쿠찌,서울대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200200560001,2,산,56,1,서울특별시 관악구 신림동 산56-1,116203120001,서울특별시 관악구 관악로,1,,1162010100102390001031057,서울대학교,서울특별시 관악구 관악로 1,151742,08826,,,,126.959279517057,37.4680295491979,파스쿠찌%20대학동,https://m.place.naver.com/restaurant/33752525,카페,867.0
438,19997601,서울생고기촌,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102410108,1,대지,241,108,서울특별시 관악구 신림동 241-108,116204160317,서울특별시 관악구 대학5길,9,,1162010200102410108005530,,서울특별시 관악구 대학5길 9,151858,08814,,1,,126.938267572243,37.4693834175404,서울생고기촌%20대학동,https://m.place.naver.com/restaurant/1138051653,"육류,고기요리",30.0
439,19997950,와와,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102340001,1,대지,234,1,서울특별시 관악구 신림동 234-1,116204160553,서울특별시 관악구 신림로7나길,5,,1162010200102340001007148,,서울특별시 관악구 신림로7나길 5,151858,08814,,1,,126.941133183195,37.4697965846563,와와%20대학동,https://m.place.naver.com/restaurant/1906275102,한식,3.0
440,19997975,수경이네,,Q,음식,Q04,분식,Q04A05,스낵,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102100000,1,대지,210,,서울특별시 관악구 신림동 210,116203120005,서울특별시 관악구 신림로,23,,1162010200102100000007306,관악산휴게소,서울특별시 관악구 신림로 23,151015,08825,,,,126.94549702368,37.4681776713142,수경이네%20대학동,https://m.place.naver.com/restaurant/1745093054,한식,210.0
441,19998057,소나무집,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102100000,1,대지,210,,서울특별시 관악구 신림동 210,116203120005,서울특별시 관악구 신림로,23,,1162010200102100000007306,관악산휴게소,서울특별시 관악구 신림로 23,151015,08825,,,,126.94549702368,37.4681776713142,소나무집%20대학동,https://m.place.naver.com/restaurant/18722062,0,
442,19998066,왕짜장,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115510000,1,대지,1551,,서울특별시 관악구 신림동 1551,116204160504,서울특별시 관악구 신림로17길,72,,1162010200115510000006066,,서울특별시 관악구 신림로17길 72,151015,08819,,,,126.936190668536,37.4675626314278,왕짜장%20대학동,https://m.place.naver.com/restaurant/20940557,중식당,102.0
446,20000001,토마토김밥,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102410110,1,대지,241,110,서울특별시 관악구 신림동 241-110,116204160317,서울특별시 관악구 대학5길,13,,1162010200102410111005536,,서울특별시 관악구 대학5길 13,151858,08814,,1,,126.938482974637,37.4693403002026,토마토김밥%20대학동,https://m.place.naver.com/restaurant/20027534,분식,171.0
448,20000276,카페이야기,이야기,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200200560001,2,산,56,1,서울특별시 관악구 신림동 산56-1,116203120001,서울특별시 관악구 관악로,1,,1162010100102390001031057,서울대학교,서울특별시 관악구 관악로 1,151742,08826,,,,126.959279517057,37.4680295491979,카페이야기%20대학동,https://m.place.naver.com/restaurant/1208494586,베이커리,237.0
449,20000695,호부침개,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102420003,1,대지,242,3,서울특별시 관악구 신림동 242-3,116204160317,서울특별시 관악구 대학5길,14,,1162010200102420003005216,,서울특별시 관악구 대학5길 14,151859,08814,,1,,126.938496953503,37.4691512046649,호부침개%20대학동,https://m.place.naver.com/restaurant/38522388,한식,31.0
